"","Season","School"
"855","1986-1987","Youngstown State"
"856","1987-1988","Air Force"
"857","1987-1988","Akron"
"858","1987-1988","Alabama"
"859","1987-1988","Alabama-Birmingham"
"860","1987-1988","Alabama State"
"861","1987-1988","Alcorn State"
"862","1987-1988","American"
"863","1987-1988","Appalachian State"
"864","1987-1988","Arizona"
"865","1987-1988","Arizona State"
"866","1987-1988","Arkansas"
"867","1987-1988","Arkansas State"
"868","1987-1988","Army"
"869","1987-1988","Auburn"
"870","1987-1988","Augusta State"
"871","1987-1988","Austin Peay"
"872","1987-1988","Ball State"
"873","1987-1988","Baylor"
"874","1987-1988","Bethune-Cookman"
"875","1987-1988","Boise State"
"876","1987-1988","Boston College"
"877","1987-1988","Boston University"
"878","1987-1988","Bowling Green State"
"879","1987-1988","Bradley"
"880","1987-1988","Brigham Young"
"881","1987-1988","Brooklyn"
"882","1987-1988","Brown"
"883","1987-1988","Bucknell"
"884","1987-1988","Butler"
"885","1987-1988","Cal State Fullerton"
"886","1987-1988","Campbell"
"887","1987-1988","Canisius"
"888","1987-1988","Centenary (LA)"
"889","1987-1988","Central Connecticut State"
"890","1987-1988","Central Florida"
"891","1987-1988","Central Michigan"
"892","1987-1988","Charleston Southern"
"893","1987-1988","Charlotte"
"894","1987-1988","Chattanooga"
"895","1987-1988","Chicago State"
"896","1987-1988","Cincinnati"
"897","1987-1988","Citadel"
"898","1987-1988","Clemson"
"899","1987-1988","Cleveland State"
"900","1987-1988","Coastal Carolina"
"901","1987-1988","Colgate"
"902","1987-1988","Colorado"
"903","1987-1988","Colorado State"
"904","1987-1988","Columbia"
"905","1987-1988","Connecticut"
"906","1987-1988","Coppin State"
"907","1987-1988","Cornell"
"908","1987-1988","Creighton"
"909","1987-1988","Dartmouth"
"910","1987-1988","Davidson"
"911","1987-1988","Dayton"
"912","1987-1988","Delaware"
"913","1987-1988","Delaware State"
"914","1987-1988","DePaul"
"915","1987-1988","Detroit Mercy"
"916","1987-1988","Drake"
"917","1987-1988","Drexel"
"918","1987-1988","Duke"
"919","1987-1988","Duquesne"
"920","1987-1988","East Carolina"
"921","1987-1988","East Tennessee State"
"922","1987-1988","Eastern Illinois"
"923","1987-1988","Eastern Kentucky"
"924","1987-1988","Eastern Michigan"
"925","1987-1988","Eastern Washington"
"926","1987-1988","Evansville"
"927","1987-1988","Fairfield"
"928","1987-1988","Fairleigh Dickinson"
"929","1987-1988","Florida"
"930","1987-1988","Florida A&M"
"931","1987-1988","Florida International"
"932","1987-1988","Florida State"
"933","1987-1988","Fordham"
"934","1987-1988","Fresno State"
"935","1987-1988","Furman"
"936","1987-1988","George Mason"
"937","1987-1988","George Washington"
"938","1987-1988","Georgetown"
"939","1987-1988","Georgia"
"940","1987-1988","Georgia Southern"
"941","1987-1988","Georgia State"
"942","1987-1988","Georgia Tech"
"943","1987-1988","Gonzaga"
"944","1987-1988","Grambling"
"945","1987-1988","Green Bay"
"946","1987-1988","Hardin-Simmons"
"947","1987-1988","Hartford"
"948","1987-1988","Harvard"
"949","1987-1988","Hawaii"
"950","1987-1988","Hofstra"
"951","1987-1988","Holy Cross"
"952","1987-1988","Houston"
"953","1987-1988","Houston Baptist"
"954","1987-1988","Howard"
"955","1987-1988","Idaho"
"956","1987-1988","Idaho State"
"957","1987-1988","Illinois"
"958","1987-1988","Illinois-Chicago"
"959","1987-1988","Illinois State"
"960","1987-1988","Indiana"
"961","1987-1988","Indiana State"
"962","1987-1988","Iona"
"963","1987-1988","Iowa"
"964","1987-1988","Iowa State"
"965","1987-1988","Jackson State"
"966","1987-1988","Jacksonville"
"967","1987-1988","James Madison"
"968","1987-1988","Kansas"
"969","1987-1988","Kansas State"
"970","1987-1988","Kent State"
"971","1987-1988","Kentucky"
"972","1987-1988","La Salle"
"973","1987-1988","Lafayette"
"974","1987-1988","Lamar"
"975","1987-1988","Lehigh"
"976","1987-1988","Little Rock"
"977","1987-1988","Long Beach State"
"978","1987-1988","Long Island University"
"979","1987-1988","Louisiana"
"980","1987-1988","Louisiana-Monroe"
"981","1987-1988","Louisiana State"
"982","1987-1988","Louisiana Tech"
"983","1987-1988","Louisville"
"984","1987-1988","Loyola (IL)"
"985","1987-1988","Loyola (MD)"
"986","1987-1988","Loyola Marymount"
"987","1987-1988","Maine"
"988","1987-1988","Manhattan"
"989","1987-1988","Marist"
"990","1987-1988","Marquette"
"991","1987-1988","Marshall"
"992","1987-1988","Maryland"
"993","1987-1988","Maryland-Baltimore County"
"994","1987-1988","Maryland-Eastern Shore"
"995","1987-1988","Massachusetts"
"996","1987-1988","McNeese State"
"997","1987-1988","Memphis"
"998","1987-1988","Mercer"
"999","1987-1988","Miami (FL)"
"1000","1987-1988","Miami (OH)"
"1001","1987-1988","Michigan"
"1002","1987-1988","Michigan State"
"1003","1987-1988","Middle Tennessee"
"1004","1987-1988","Minnesota"
"1005","1987-1988","Mississippi"
"1006","1987-1988","Mississippi State"
"1007","1987-1988","Mississippi Valley State"
"1008","1987-1988","Missouri"
"1009","1987-1988","Missouri State"
"1010","1987-1988","Monmouth"
"1011","1987-1988","Montana"
"1012","1987-1988","Montana State"
"1013","1987-1988","Morehead State"
"1014","1987-1988","Morgan State"
"1015","1987-1988","Murray State"
"1016","1987-1988","Navy"
"1017","1987-1988","Nebraska"
"1018","1987-1988","Nevada"
"1019","1987-1988","Nevada-Las Vegas"
"1020","1987-1988","New Hampshire"
"1021","1987-1988","New Mexico"
"1022","1987-1988","New Mexico State"
"1023","1987-1988","New Orleans"
"1024","1987-1988","Niagara"
"1025","1987-1988","Nicholls State"
"1026","1987-1988","North Carolina"
"1027","1987-1988","North Carolina-Asheville"
"1028","1987-1988","North Carolina-Wilmington"
"1029","1987-1988","North Carolina A&T"
"1030","1987-1988","North Carolina State"
"1031","1987-1988","North Texas"
"1032","1987-1988","Northeastern"
"1033","1987-1988","Northern Arizona"
"1034","1987-1988","Northern Illinois"
"1035","1987-1988","Northern Iowa"
"1036","1987-1988","Northwestern"
"1037","1987-1988","Northwestern State"
"1038","1987-1988","Notre Dame"
"1039","1987-1988","Ohio"
"1040","1987-1988","Ohio State"
"1041","1987-1988","Oklahoma"
"1042","1987-1988","Oklahoma State"
"1043","1987-1988","Old Dominion"
"1044","1987-1988","Oral Roberts"
"1045","1987-1988","Oregon"
"1046","1987-1988","Oregon State"
"1047","1987-1988","Pacific"
"1048","1987-1988","Penn State"
"1049","1987-1988","Pennsylvania"
"1050","1987-1988","Pepperdine"
"1051","1987-1988","Pittsburgh"
"1052","1987-1988","Portland"
"1053","1987-1988","Prairie View"
"1054","1987-1988","Princeton"
"1055","1987-1988","Providence"
"1056","1987-1988","Purdue"
"1057","1987-1988","Radford"
"1058","1987-1988","Rhode Island"
"1059","1987-1988","Rice"
"1060","1987-1988","Richmond"
"1061","1987-1988","Rider"
"1062","1987-1988","Robert Morris"
"1063","1987-1988","Rutgers"
"1064","1987-1988","Saint Francis (PA)"
"1065","1987-1988","Saint Joseph's"
"1066","1987-1988","Saint Louis"
"1067","1987-1988","Saint Mary's (CA)"
"1068","1987-1988","Saint Peter's"
"1069","1987-1988","Sam Houston State"
"1070","1987-1988","Samford"
"1071","1987-1988","San Diego"
"1072","1987-1988","San Diego State"
"1073","1987-1988","San Francisco"
"1074","1987-1988","San Jose State"
"1075","1987-1988","Santa Clara"
"1076","1987-1988","Seton Hall"
"1077","1987-1988","Siena"
"1078","1987-1988","South Alabama"
"1079","1987-1988","South Carolina"
"1080","1987-1988","South Carolina State"
"1081","1987-1988","South Florida"
"1082","1987-1988","Southeastern Louisiana"
"1083","1987-1988","Southern"
"1084","1987-1988","Southern California"
"1085","1987-1988","Southern Illinois"
"1086","1987-1988","Southern Methodist"
"1087","1987-1988","Southern Mississippi"
"1088","1987-1988","St. Bonaventure"
"1089","1987-1988","St. Francis (NY)"
"1090","1987-1988","St. John's (NY)"
"1091","1987-1988","Stanford"
"1092","1987-1988","Stephen F. Austin"
"1093","1987-1988","Stetson"
"1094","1987-1988","Syracuse"
"1095","1987-1988","Temple"
"1096","1987-1988","Tennessee"
"1097","1987-1988","Tennessee State"
"1098","1987-1988","Tennessee Tech"
"1099","1987-1988","Texas"
"1100","1987-1988","Texas-Arlington"
"1101","1987-1988","Texas-El Paso"
"1102","1987-1988","Texas-Rio Grande Valley"
"1103","1987-1988","Texas-San Antonio"
"1104","1987-1988","Texas A&M"
"1105","1987-1988","Texas Christian"
"1106","1987-1988","Texas Southern"
"1107","1987-1988","Texas State"
"1108","1987-1988","Texas Tech"
"1109","1987-1988","Toledo"
"1110","1987-1988","Towson"
"1111","1987-1988","Tulsa"
"1112","1987-1988","U.S. International"
"1113","1987-1988","UC-Irvine"
"1114","1987-1988","UC-Santa Barbara"
"1115","1987-1988","UCLA"
"1116","1987-1988","University of California"
"1117","1987-1988","Utah"
"1118","1987-1988","Utah State"
"1119","1987-1988","Valparaiso"
"1120","1987-1988","Vanderbilt"
"1121","1987-1988","Vermont"
"1122","1987-1988","Villanova"
"1123","1987-1988","Virginia"
"1124","1987-1988","Virginia Commonwealth"
"1125","1987-1988","Virginia Tech"
"1126","1987-1988","VMI"
"1127","1987-1988","Wagner"
"1128","1987-1988","Wake Forest"
"1129","1987-1988","Washington"
"1130","1987-1988","Washington State"
"1131","1987-1988","Weber State"
"1132","1987-1988","West Virginia"
"1133","1987-1988","Western Carolina"
"1134","1987-1988","Western Illinois"
"1135","1987-1988","Western Kentucky"
"1136","1987-1988","Western Michigan"
"1137","1987-1988","Wichita State"
"1138","1987-1988","William & Mary"
"1139","1987-1988","Winthrop"
"1140","1987-1988","Wisconsin"
"1141","1987-1988","Wright State"
"1142","1987-1988","Wyoming"
"1143","1987-1988","Xavier"
"1144","1987-1988","Yale"
"1145","1987-1988","Youngstown State"
"1146","1988-1989","Air Force"
"1147","1988-1989","Akron"
"1148","1988-1989","Alabama"
"1149","1988-1989","Alabama-Birmingham"
"1150","1988-1989","Alabama State"
"1151","1988-1989","Alcorn State"
"1152","1988-1989","American"
"1153","1988-1989","Appalachian State"
"1154","1988-1989","Arizona"
"1155","1988-1989","Arizona State"
"1156","1988-1989","Arkansas"
"1157","1988-1989","Arkansas State"
"1158","1988-1989","Army"
"1159","1988-1989","Auburn"
"1160","1988-1989","Augusta State"
"1161","1988-1989","Austin Peay"
"1162","1988-1989","Ball State"
"1163","1988-1989","Baylor"
"1164","1988-1989","Bethune-Cookman"
"1165","1988-1989","Boise State"
"1166","1988-1989","Boston College"
"1167","1988-1989","Boston University"
"1168","1988-1989","Bowling Green State"
"1169","1988-1989","Bradley"
"1170","1988-1989","Brigham Young"
"1171","1988-1989","Brooklyn"
"1172","1988-1989","Brown"
"1173","1988-1989","Bucknell"
"1174","1988-1989","Butler"
"1175","1988-1989","Cal State Fullerton"
"1176","1988-1989","Campbell"
"1177","1988-1989","Canisius"
"1178","1988-1989","Centenary (LA)"
"1179","1988-1989","Central Connecticut State"
"1180","1988-1989","Central Florida"
"1181","1988-1989","Central Michigan"
"1182","1988-1989","Charleston Southern"
"1183","1988-1989","Charlotte"
"1184","1988-1989","Chattanooga"
"1185","1988-1989","Chicago State"
"1186","1988-1989","Cincinnati"
"1187","1988-1989","Citadel"
"1188","1988-1989","Clemson"
"1189","1988-1989","Cleveland State"
"1190","1988-1989","Coastal Carolina"
"1191","1988-1989","Colgate"
"1192","1988-1989","Colorado"
"1193","1988-1989","Colorado State"
"1194","1988-1989","Columbia"
"1195","1988-1989","Connecticut"
"1196","1988-1989","Coppin State"
"1197","1988-1989","Cornell"
"1198","1988-1989","Creighton"
"1199","1988-1989","Dartmouth"
"1200","1988-1989","Davidson"
"1201","1988-1989","Dayton"
"1202","1988-1989","Delaware"
"1203","1988-1989","Delaware State"
"1204","1988-1989","DePaul"
"1205","1988-1989","Detroit Mercy"
"1206","1988-1989","Drake"
"1207","1988-1989","Drexel"
"1208","1988-1989","Duke"
"1209","1988-1989","Duquesne"
"1210","1988-1989","East Carolina"
"1211","1988-1989","East Tennessee State"
"1212","1988-1989","Eastern Illinois"
"1213","1988-1989","Eastern Kentucky"
"1214","1988-1989","Eastern Michigan"
"1215","1988-1989","Eastern Washington"
"1216","1988-1989","Evansville"
"1217","1988-1989","Fairfield"
"1218","1988-1989","Fairleigh Dickinson"
"1219","1988-1989","Florida"
"1220","1988-1989","Florida A&M"
"1221","1988-1989","Florida International"
"1222","1988-1989","Florida State"
"1223","1988-1989","Fordham"
"1224","1988-1989","Fresno State"
"1225","1988-1989","Furman"
"1226","1988-1989","George Mason"
"1227","1988-1989","George Washington"
"1228","1988-1989","Georgetown"
"1229","1988-1989","Georgia"
"1230","1988-1989","Georgia Southern"
"1231","1988-1989","Georgia State"
"1232","1988-1989","Georgia Tech"
"1233","1988-1989","Gonzaga"
"1234","1988-1989","Grambling"
"1235","1988-1989","Green Bay"
"1236","1988-1989","Hardin-Simmons"
"1237","1988-1989","Hartford"
"1238","1988-1989","Harvard"
"1239","1988-1989","Hawaii"
"1240","1988-1989","Hofstra"
"1241","1988-1989","Holy Cross"
"1242","1988-1989","Houston"
"1243","1988-1989","Houston Baptist"
"1244","1988-1989","Howard"
"1245","1988-1989","Idaho"
"1246","1988-1989","Idaho State"
"1247","1988-1989","Illinois"
"1248","1988-1989","Illinois-Chicago"
"1249","1988-1989","Illinois State"
"1250","1988-1989","Indiana"
"1251","1988-1989","Indiana State"
"1252","1988-1989","Iona"
"1253","1988-1989","Iowa"
"1254","1988-1989","Iowa State"
"1255","1988-1989","Jackson State"
"1256","1988-1989","Jacksonville"
"1257","1988-1989","James Madison"
"1258","1988-1989","Kansas"
"1259","1988-1989","Kansas State"
"1260","1988-1989","Kent State"
"1261","1988-1989","Kentucky"
"1262","1988-1989","La Salle"
"1263","1988-1989","Lafayette"
"1264","1988-1989","Lamar"
"1265","1988-1989","Lehigh"
"1266","1988-1989","Liberty"
"1267","1988-1989","Little Rock"
"1268","1988-1989","Long Beach State"
"1269","1988-1989","Long Island University"
"1270","1988-1989","Louisiana"
"1271","1988-1989","Louisiana-Monroe"
"1272","1988-1989","Louisiana State"
"1273","1988-1989","Louisiana Tech"
"1274","1988-1989","Louisville"
"1275","1988-1989","Loyola (IL)"
"1276","1988-1989","Loyola (MD)"
"1277","1988-1989","Loyola Marymount"
"1278","1988-1989","Maine"
"1279","1988-1989","Manhattan"
"1280","1988-1989","Marist"
"1281","1988-1989","Marquette"
"1282","1988-1989","Marshall"
"1283","1988-1989","Maryland"
"1284","1988-1989","Maryland-Baltimore County"
"1285","1988-1989","Maryland-Eastern Shore"
"1286","1988-1989","Massachusetts"
"1287","1988-1989","McNeese State"
"1288","1988-1989","Memphis"
"1289","1988-1989","Mercer"
"1290","1988-1989","Miami (FL)"
"1291","1988-1989","Miami (OH)"
"1292","1988-1989","Michigan"
"1293","1988-1989","Michigan State"
"1294","1988-1989","Middle Tennessee"
"1295","1988-1989","Minnesota"
"1296","1988-1989","Mississippi"
"1297","1988-1989","Mississippi State"
"1298","1988-1989","Mississippi Valley State"
"1299","1988-1989","Missouri"
"1300","1988-1989","Missouri State"
"1301","1988-1989","Monmouth"
"1302","1988-1989","Montana"
"1303","1988-1989","Montana State"
"1304","1988-1989","Morehead State"
"1305","1988-1989","Morgan State"
"1306","1988-1989","Mount St. Mary's"
"1307","1988-1989","Murray State"
"1308","1988-1989","Navy"
"1309","1988-1989","Nebraska"
"1310","1988-1989","Nevada"
"1311","1988-1989","Nevada-Las Vegas"
"1312","1988-1989","New Hampshire"
"1313","1988-1989","New Mexico"
"1314","1988-1989","New Mexico State"
"1315","1988-1989","New Orleans"
"1316","1988-1989","Niagara"
"1317","1988-1989","Nicholls State"
"1318","1988-1989","North Carolina"
"1319","1988-1989","North Carolina-Asheville"
"1320","1988-1989","North Carolina-Wilmington"
"1321","1988-1989","North Carolina A&T"
"1322","1988-1989","North Carolina State"
"1323","1988-1989","North Texas"
"1324","1988-1989","Northeastern"
"1325","1988-1989","Northern Arizona"
"1326","1988-1989","Northern Illinois"
"1327","1988-1989","Northern Iowa"
"1328","1988-1989","Northwestern"
"1329","1988-1989","Northwestern State"
"1330","1988-1989","Notre Dame"
"1331","1988-1989","Ohio"
"1332","1988-1989","Ohio State"
"1333","1988-1989","Oklahoma"
"1334","1988-1989","Oklahoma State"
"1335","1988-1989","Old Dominion"
"1336","1988-1989","Oral Roberts"
"1337","1988-1989","Oregon"
"1338","1988-1989","Oregon State"
"1339","1988-1989","Pacific"
"1340","1988-1989","Penn State"
"1341","1988-1989","Pennsylvania"
"1342","1988-1989","Pepperdine"
"1343","1988-1989","Pittsburgh"
"1344","1988-1989","Portland"
"1345","1988-1989","Prairie View"
